"case","countries","outcome","predictors","complete_observations","term","estimate","standard_error","t_value","p_value","ci_lower","ci_upper","r_squared","adjusted_r_squared"
"NZL_Q177_on_Q165_Q260_Q262","NZL","Q177","Q165;Q260;Q262",746,"(Intercept)",3.07765671640013,0.258767132695831,11.8935379634081,5.57905246727032e-30,2.56965381529683,3.58565961750342,0.0354349170028542,0.0315350581767203
"NZL_Q177_on_Q165_Q260_Q262","NZL","Q177","Q165;Q260;Q262",746,"Q165",0.190360981562187,0.141134283451369,1.34879333998093,0.17781484669245,-0.0867090802014388,0.467431043325813,0.0354349170028542,0.0315350581767203
"NZL_Q177_on_Q165_Q260_Q262","NZL","Q177","Q165;Q260;Q262",746,"Q260",0.176379269477027,0.138529651689143,1.27322394394536,0.203337327956925,-0.09557746712149,0.448336006075544,0.0354349170028542,0.0315350581767203
"NZL_Q177_on_Q165_Q260_Q262","NZL","Q177","Q165;Q260;Q262",746,"Q262",-0.0216873396878026,0.00424571062616285,-5.10805883805674,4.14255623340956e-07,-0.0300223754895521,-0.0133523038860531,0.0354349170028542,0.0315350581767203
"NZL_Q184_on_five_predictors","NZL","Q184","Q165;Q167;Q260;Q262;Q275",626,"(Intercept)",8.6029639820074,0.599610662334249,14.3475833943922,1.60957147735767e-40,7.42545001329211,9.78047795072269,0.315397901233548,0.309876916566077
"NZL_Q184_on_five_predictors","NZL","Q184","Q165;Q167;Q260;Q262;Q275",626,"Q165",-1.63374452044544,0.246945157734472,-6.61581921846035,7.99395419968556e-11,-2.11869482404235,-1.14879421684852,0.315397901233548,0.309876916566077
"NZL_Q184_on_five_predictors","NZL","Q184","Q165;Q167;Q260;Q262;Q275",626,"Q167",-2.37849542767094,0.274311102159341,-8.67079534494864,3.74739497333082e-17,-2.91718690675317,-1.83980394858871,0.315397901233548,0.309876916566077
"NZL_Q184_on_five_predictors","NZL","Q184","Q165;Q167;Q260;Q262;Q275",626,"Q260",-0.451285749336661,0.202506996346651,-2.22849460748582,0.0262053299074673,-0.848968499060403,-0.0536029996129194,0.315397901233548,0.309876916566077
"NZL_Q184_on_five_predictors","NZL","Q184","Q165;Q167;Q260;Q262;Q275",626,"Q262",-0.0119938960412824,0.00653409313982476,-1.8355869413891,0.0668975473864028,-0.0248255323485459,0.000837740265981003,0.315397901233548,0.309876916566077
"NZL_Q184_on_five_predictors","NZL","Q184","Q165;Q167;Q260;Q262;Q275",626,"Q275",0.0873201442871255,0.0634123514526377,1.37702107376265,0.16900270273394,-0.0372088781520064,0.211849166726257,0.315397901233548,0.309876916566077
"NZL_AUS_Q177_combined","NZL;AUS","Q177","Q165;Q260;Q262",1705,"(Intercept)",2.70979378493023,0.152524688462925,17.7662633652185,6.53795087006018e-65,2.41063802391494,3.00894954594552,0.0273342873801162,0.0256188275694991
"NZL_AUS_Q177_combined","NZL;AUS","Q177","Q165;Q260;Q262",1705,"Q165",0.0817136245722013,0.0877150759287613,0.931580161186497,0.351685738030222,-0.0903271811256967,0.253754430270099,0.0273342873801162,0.0256188275694991
"NZL_AUS_Q177_combined","NZL;AUS","Q177","Q165;Q260;Q262",1705,"Q260",0.176925632165054,0.0872264158843606,2.02834921475635,0.0426801613854864,0.00584326453337056,0.348007999796737,0.0273342873801162,0.0256188275694991
"NZL_AUS_Q177_combined","NZL;AUS","Q177","Q165;Q260;Q262",1705,"Q262",-0.0172235120656543,0.00255035730740568,-6.75337217088796,1.97627081239783e-11,-0.0222256798382723,-0.0122213442930362,0.0273342873801162,0.0256188275694991
"ALL_Q177_on_Q165_Q260_Q262","ALL","Q177","Q165;Q260;Q262",60567,"(Intercept)",3.49370042698345,0.041717761837008,83.7461137208989,0,3.4119334821377,3.57546737182919,0.0109092829890237,0.0108602881877254
"ALL_Q177_on_Q165_Q260_Q262","ALL","Q177","Q165;Q260;Q262",60567,"Q165",0.20550557919449,0.0293010339430915,7.01359479647111,2.34696257827523e-12,0.148075460203237,0.262935698185743,0.0109092829890237,0.0108602881877254
"ALL_Q177_on_Q165_Q260_Q262","ALL","Q177","Q165;Q260;Q262",60567,"Q260",0.110993929604982,0.022031607487023,5.03794058923568,4.71917455399557e-07,0.0678119094071371,0.154175949802826,0.0109092829890237,0.0108602881877254
"ALL_Q177_on_Q165_Q260_Q262","ALL","Q177","Q165;Q260;Q262",60567,"Q262",-0.0159312843314364,0.000663778855688036,-24.000891554346,1.06670116545073e-126,-0.0172322929832158,-0.0146302756796571,0.0109092829890237,0.0108602881877254
"NZL_BINARY_LINEAR_PROBABILITY","NZL","Q167","Q165;Q260;Q262",672,"(Intercept)",0.153151385235275,0.0539484470955693,2.83884696373129,0.00466525443934443,0.0472224428544727,0.259080327616077,0.312299288041176,0.309210811789864
"NZL_BINARY_LINEAR_PROBABILITY","NZL","Q167","Q165;Q260;Q262",672,"Q165",0.504025604371265,0.0290521519457623,17.3489938133407,6.12212801793362e-56,0.446981075841106,0.561070132901423,0.312299288041176,0.309210811789864
"NZL_BINARY_LINEAR_PROBABILITY","NZL","Q167","Q165;Q260;Q262",672,"Q260",0.00451647470283631,0.0287890456589644,0.156881709673136,0.875385478164463,-0.0520114389441384,0.061044388349811,0.312299288041176,0.309210811789864
"NZL_BINARY_LINEAR_PROBABILITY","NZL","Q167","Q165;Q260;Q262",672,"Q262",-0.00250904651217689,0.000884455924690527,-2.83682481188061,0.00469454261830599,-0.00424569484459194,-0.000772398179761845,0.312299288041176,0.309210811789864
