"case","outcome","grouping_variable","countries","group","valid_n","mean","standard_deviation","f_statistic","p_value","eta_squared","omega_squared"
"Q177_BY_COUNTRY_AUS_NZL","Q177","COUNTRY","AUS;NZL","Australia",992,1.77520161290323,1.70914025267302,7.62359851562406,0.00581485228406525,0.00389033818606736,0.00337831214550246
"Q177_BY_COUNTRY_AUS_NZL","Q177","COUNTRY","AUS;NZL","New Zealand",962,2.0010395010395,1.90377219070697,7.62359851562406,0.00581485228406525,0.00389033818606736,0.00337831214550246
"Q177_BY_SEX_NZL","Q177","Q260","NZL","Female",545,1.9743119266055,1.84691732780821,0.182503270816122,0.669328363812569,0.000193702674569476,-0.000866742890531707
"Q177_BY_SEX_NZL","Q177","Q260","NZL","Male",399,2.02756892230576,1.95212597795471,0.182503270816122,0.669328363812569,0.000193702674569476,-0.000866742890531707
"Q184_BY_SEX_AUS_NZL","Q184","Q260","AUS;NZL","Female",1100,6.81818181818182,2.92981851752288,6.36392558510115,0.0117281030491941,0.00336650816224786,0.00283600924842732
"Q184_BY_SEX_AUS_NZL","Q184","Q260","AUS;NZL","Male",786,6.46946564885496,3.00101196850733,6.36392558510115,0.0117281030491941,0.00336650816224786,0.00283600924842732
"Q177_BY_DENOMINATION_NZL","Q177","Q289","NZL","Buddhist",7,2.14285714285714,1.57359158493889,1.473408545897,0.173064747489472,0.0113549514958501,0.00364435204136261
"Q177_BY_DENOMINATION_NZL","Q177","Q289","NZL","Catholic (Roman/Greek/etc)",99,2.01010101010101,1.98203641667851,1.473408545897,0.173064747489472,0.0113549514958501,0.00364435204136261
"Q177_BY_DENOMINATION_NZL","Q177","Q289","NZL","Do not belong to a denomination",437,2.06407322654462,1.7805047408643,1.473408545897,0.173064747489472,0.0113549514958501,0.00364435204136261
"Q177_BY_DENOMINATION_NZL","Q177","Q289","NZL","Hindu",10,3.2,3.22490309931942,1.473408545897,0.173064747489472,0.0113549514958501,0.00364435204136261
"Q177_BY_DENOMINATION_NZL","Q177","Q289","NZL","Jew",2,1,0,1.473408545897,0.173064747489472,0.0113549514958501,0.00364435204136261
"Q177_BY_DENOMINATION_NZL","Q177","Q289","NZL","Muslim",6,3.33333333333333,3.82970843102535,1.473408545897,0.173064747489472,0.0113549514958501,0.00364435204136261
"Q177_BY_DENOMINATION_NZL","Q177","Q289","NZL","Other",16,1.9375,2.04837333836714,1.473408545897,0.173064747489472,0.0113549514958501,0.00364435204136261
"Q177_BY_DENOMINATION_NZL","Q177","Q289","NZL","Other Christian (Jehova withness...)",329,1.84802431610942,1.89704617617202,1.473408545897,0.173064747489472,0.0113549514958501,0.00364435204136261
"Q262_BY_BELIEF_IN_GOD_ALL","Q262","Q165","ALL","No",10412,45.0513830195928,16.7341232745488,199.412765021445,3.30147619563143e-45,0.00323085224540511,0.00321459833037971
"Q262_BY_BELIEF_IN_GOD_ALL","Q262","Q165","ALL","Yes",51112,42.5346493974018,16.5430200304465,199.412765021445,3.30147619563143e-45,0.00323085224540511,0.00321459833037971
