"B_COUNTRY_ALPHA","B_COUNTRY","source_participants"
"AND","20",1004
"ARG","32",1003
"ARM","51",1223
"AUS","36",1813
"BGD","50",1200
"BOL","68",2067
"BRA","76",1762
"CAN","124",4018
"CHL","152",1000
"CHN","156",3036
"COL","170",1520
"CYP","196",1000
"CZE","203",1200
"DEU","276",1528
"ECU","218",1200
"EGY","818",1200
"ETH","231",1230
"GBR","826",2609
"GRC","300",1200
"GTM","320",1229
"HKG","344",2075
"IDN","360",3200
"IND","356",1692
"IRN","364",1499
"IRQ","368",1200
"JOR","400",1203
"JPN","392",1353
"KAZ","398",1276
"KEN","404",1266
"KGZ","417",1200
"KOR","410",1245
"LBN","422",1200
"LBY","434",1196
"MAC","446",1023
"MAR","504",1200
"MDV","462",1039
"MEX","484",1741
"MMR","104",1200
"MNG","496",1638
"MYS","458",1313
"NGA","566",1237
"NIC","558",1200
"NIR","909",447
"NLD","528",2145
"NZL","554",1057
"PAK","586",1995
"PER","604",1400
"PHL","608",1200
"PRI","630",1127
"ROU","642",1257
"RUS","643",1810
"SGP","702",2012
"SRB","688",1046
"SVK","703",1200
"THA","764",1500
"TJK","762",1200
"TUN","788",1208
"TUR","792",2415
"TWN","158",1223
"UKR","804",1289
"URY","858",1000
"USA","840",2596
"UZB","860",1250
"VEN","862",1190
"VNM","704",1200
"ZWE","716",1215
