"case","row_variable","column_variable","countries","row","column","observed","expected","row_percentage","column_percentage","chi_square","degrees_freedom","p_value","cramers_v"
"NZL_Q165_BY_Q260","Q165","Q260","NZL","No","Female",169,190.457583547558,50.297619047619,38.3219954648526,9.82359339064663,1,0.00172287409532495,0.112368708825883
"NZL_Q165_BY_Q260","Q165","Q260","NZL","No","Male",167,145.542416452442,49.702380952381,49.5548961424332,9.82359339064663,1,0.00172287409532495,0.112368708825883
"NZL_Q165_BY_Q260","Q165","Q260","NZL","Yes","Female",272,250.542416452442,61.5384615384615,61.6780045351474,9.82359339064663,1,0.00172287409532495,0.112368708825883
"NZL_Q165_BY_Q260","Q165","Q260","NZL","Yes","Male",170,191.457583547558,38.4615384615385,50.4451038575668,9.82359339064663,1,0.00172287409532495,0.112368708825883
"NZL_Q289_BY_Q165","Q289","Q165","NZL","Buddhist","No",1,2.62849533954727,16.6666666666667,0.303951367781155,347.469573633882,8,3.14029521071842e-70,0.680202810706913
"NZL_Q289_BY_Q165","Q289","Q165","NZL","Buddhist","Yes",5,3.37150466045273,83.3333333333333,1.18483412322275,347.469573633882,8,3.14029521071842e-70,0.680202810706913
"NZL_Q289_BY_Q165","Q289","Q165","NZL","Catholic (Roman/Greek/etc)","No",12,36.7989347536618,14.2857142857143,3.64741641337386,347.469573633882,8,3.14029521071842e-70,0.680202810706913
"NZL_Q289_BY_Q165","Q289","Q165","NZL","Catholic (Roman/Greek/etc)","Yes",72,47.2010652463382,85.7142857142857,17.0616113744076,347.469573633882,8,3.14029521071842e-70,0.680202810706913
"NZL_Q289_BY_Q165","Q289","Q165","NZL","Do not belong to a denomination","No",279,152.890812250333,79.9426934097421,84.8024316109423,347.469573633882,8,3.14029521071842e-70,0.680202810706913
"NZL_Q289_BY_Q165","Q289","Q165","NZL","Do not belong to a denomination","Yes",70,196.109187749667,20.0573065902579,16.5876777251185,347.469573633882,8,3.14029521071842e-70,0.680202810706913
"NZL_Q289_BY_Q165","Q289","Q165","NZL","Hindu","No",0,3.94274300932091,0,0,347.469573633882,8,3.14029521071842e-70,0.680202810706913
"NZL_Q289_BY_Q165","Q289","Q165","NZL","Hindu","Yes",9,5.05725699067909,100,2.13270142180095,347.469573633882,8,3.14029521071842e-70,0.680202810706913
"NZL_Q289_BY_Q165","Q289","Q165","NZL","Jew","No",0,0.438082556591212,0,0,347.469573633882,8,3.14029521071842e-70,0.680202810706913
"NZL_Q289_BY_Q165","Q289","Q165","NZL","Jew","Yes",1,0.561917443408788,100,0.23696682464455,347.469573633882,8,3.14029521071842e-70,0.680202810706913
"NZL_Q289_BY_Q165","Q289","Q165","NZL","Muslim","No",0,3.06657789613848,0,0,347.469573633882,8,3.14029521071842e-70,0.680202810706913
"NZL_Q289_BY_Q165","Q289","Q165","NZL","Muslim","Yes",7,3.93342210386152,100,1.65876777251185,347.469573633882,8,3.14029521071842e-70,0.680202810706913
