"B_COUNTRY_ALPHA","B_COUNTRY","source_participants"
"AND","Andorra",1004
"ARG","Argentina",1003
"ARM","Armenia",1223
"AUS","Australia",1813
"BGD","Bangladesh",1200
"BOL","Bolivia",2067
"BRA","Brazil",1762
"CAN","Canada",4018
"CHL","Chile",1000
"CHN","China",3036
"COL","Colombia",1520
"CYP","Cyprus",1000
"CZE","Czechia",1200
"DEU","Germany",1528
"ECU","Ecuador",1200
"EGY","Egypt",1200
"ETH","Ethiopia",1230
"GBR","Great Britain",2609
"GRC","Greece",1200
"GTM","Guatemala",1229
"HKG","Hong Kong SAR",2075
"IDN","Indonesia",3200
"IND","India",1692
"IRN","Iran",1499
"IRQ","Iraq",1200
"JOR","Jordan",1203
"JPN","Japan",1353
"KAZ","Kazakhstan",1276
"KEN","Kenya",1266
"KGZ","Kyrgyzstan",1200
"KOR","South Korea",1245
"LBN","Lebanon",1200
"LBY","Libya",1196
"MAC","Macau SAR",1023
"MAR","Morocco",1200
"MDV","Maldives",1039
"MEX","Mexico",1741
"MMR","Myanmar",1200
"MNG","Mongolia",1638
"MYS","Malaysia",1313
"NGA","Nigeria",1237
"NIC","Nicaragua",1200
"NIR","Northern Ireland",447
"NLD","Netherlands",2145
"NZL","New Zealand",1057
"PAK","Pakistan",1995
"PER","Peru",1400
"PHL","Philippines",1200
"PRI","Puerto Rico",1127
"ROU","Romania",1257
"RUS","Russia",1810
"SGP","Singapore",2012
"SRB","Serbia",1046
"SVK","Slovakia",1200
"THA","Thailand",1500
"TJK","Tajikistan",1200
"TUN","Tunisia",1208
"TUR","Turkey",2415
"TWN","Taiwan ROC",1223
"UKR","Ukraine",1289
"URY","Uruguay",1000
"USA","United States",2596
"UZB","Uzbekistan",1250
"VEN","Venezuela",1190
"VNM","Vietnam",1200
"ZWE","Zimbabwe",1215
