"variable","processed_value","count"
"Q165","Yes",74381
"Q165","No",18148
"Q165","NA",4691
"Q166","Yes",57614
"Q166","No",32011
"Q166","NA",7595
"Q167","Yes",52816
"Q167","No",37260
"Q167","NA",7144
"Q168","Yes",61194
"Q168","No",29055
"Q168","NA",6971
"Q177","Never justifiable",48134
"Q177","2",9476
"Q177","3",7820
"Q177","4",5277
"Q177","5",8435
"Q177","6",4279
"Q177","7",3018
"Q177","8",2991
"Q177","9",1515
"Q177","Always justifiable",4587
"Q177","NA",1688
"Q178","Never justifiable",48329
"Q178","2",10066
"Q178","3",7850
"Q178","4",5161
"Q178","5",7859
"Q178","6",3770
"Q178","7",2841
"Q178","8",2532
"Q178","9",1224
"Q178","Always justifiable",4049
"Q178","NA",3539
"Q179","Never justifiable",70600
"Q179","2",8617
"Q179","3",5183
"Q179","4",2751
"Q179","5",3676
"Q179","6",1665
"Q179","7",1207
"Q179","8",881
"Q179","9",487
"Q179","Always justifiable",1248
"Q179","NA",905
"Q180","Never justifiable",60350
"Q180","2",10170
"Q180","3",7014
"Q180","4",4046
"Q180","5",5555
"Q180","6",2581
"Q180","7",1880
"Q180","8",1399
"Q180","9",701
"Q180","Always justifiable",2245
"Q180","NA",1279
"Q181","Never justifiable",66429
"Q181","2",9373
"Q181","3",5869
"Q181","4",3319
"Q181","5",4552
"Q181","6",2010
"Q181","7",1355
"Q181","8",1071
"Q181","9",619
"Q181","Always justifiable",1429
"Q181","NA",1194
"Q182","Never justifiable",39184
"Q182","2",5243
"Q182","3",4343
"Q182","4",3491
"Q182","5",10044
"Q182","6",4303
"Q182","7",3304
"Q182","8",3917
"Q182","9",2452
"Q182","Always justifiable",13424
"Q182","NA",7515
"Q183","Never justifiable",44787
"Q183","2",7222
"Q183","3",6020
"Q183","4",4335
"Q183","5",10355
"Q183","6",4327
"Q183","7",3254
"Q183","8",2878
"Q183","9",1282
"Q183","Always justifiable",4009
"Q183","NA",8751
"Q184","Never justifiable",42574
"Q184","2",6917
"Q184","3",6257
"Q184","4",4626
"Q184","5",11660
"Q184","6",5001
"Q184","7",4100
"Q184","8",4456
"Q184","9",2425
"Q184","Always justifiable",6929
"Q184","NA",2275
"Q185","Never justifiable",24385
"Q185","2",5097
"Q185","3",5229
"Q185","4",4983
"Q185","5",16109
"Q185","6",7509
"Q185","7",6612
"Q185","8",7263
"Q185","9",4078
"Q185","Always justifiable",14026
"Q185","NA",1929
"Q186","Never justifiable",31717
"Q186","2",5493
"Q186","3",4465
"Q186","4",3904
"Q186","5",11771
"Q186","6",5455
"Q186","7",4584
"Q186","8",5837
"Q186","9",3688
"Q186","Always justifiable",15492
"Q186","NA",4814
"Q187","Never justifiable",55798
"Q187","2",8040
"Q187","3",6213
"Q187","4",3831
"Q187","5",8839
"Q187","6",3521
"Q187","7",2430
"Q187","8",2083
"Q187","9",969
"Q187","Always justifiable",3130
"Q187","NA",2366
"Q188","Never justifiable",39460
"Q188","2",6561
"Q188","3",5199
"Q188","4",3999
"Q188","5",10558
"Q188","6",5095
"Q188","7",4796
"Q188","8",5883
"Q188","9",3133
"Q188","Always justifiable",8562
"Q188","NA",3974
"Q189","Never justifiable",68628
"Q189","2",7383
"Q189","3",4583
"Q189","4",2748
"Q189","5",4070
"Q189","6",1815
"Q189","7",1110
"Q189","8",826
"Q189","9",499
