"variable","source_class","processed_class","source_negative_codes","processed_missing","processed_valid","processed_distinct_values","processed_numeric_min","processed_numeric_max","processed_levels"
"Q165","haven_labelled vctrs_vctr double","factor",4691,4691,92529,2,1,2,"Yes | No"
"Q166","haven_labelled vctrs_vctr double","factor",7595,7595,89625,2,1,2,"Yes | No"
"Q167","haven_labelled vctrs_vctr double","factor",7144,7144,90076,2,1,2,"Yes | No"
"Q168","haven_labelled vctrs_vctr double","factor",6971,6971,90249,2,1,2,"Yes | No"
"Q177","haven_labelled vctrs_vctr double","ordered factor",1688,1688,95532,10,1,10,"Never justifiable | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | Always justifiable"
"Q178","haven_labelled vctrs_vctr double","ordered factor",3539,3539,93681,10,1,10,"Never justifiable | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | Always justifiable"
"Q179","haven_labelled vctrs_vctr double","ordered factor",905,905,96315,10,1,10,"Never justifiable | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | Always justifiable"
"Q180","haven_labelled vctrs_vctr double","ordered factor",1279,1279,95941,10,1,10,"Never justifiable | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | Always justifiable"
"Q181","haven_labelled vctrs_vctr double","ordered factor",1194,1194,96026,10,1,10,"Never justifiable | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | Always justifiable"
"Q182","haven_labelled vctrs_vctr double","ordered factor",7515,7515,89705,10,1,10,"Never justifiable | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | Always justifiable"
"Q183","haven_labelled vctrs_vctr double","ordered factor",8751,8751,88469,10,1,10,"Never justifiable | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | Always justifiable"
"Q184","haven_labelled vctrs_vctr double","ordered factor",2275,2275,94945,10,1,10,"Never justifiable | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | Always justifiable"
"Q185","haven_labelled vctrs_vctr double","ordered factor",1929,1929,95291,10,1,10,"Never justifiable | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | Always justifiable"
"Q186","haven_labelled vctrs_vctr double","ordered factor",4814,4814,92406,10,1,10,"Never justifiable | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | Always justifiable"
"Q187","haven_labelled vctrs_vctr double","ordered factor",2366,2366,94854,10,1,10,"Never justifiable | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | Always justifiable"
"Q188","haven_labelled vctrs_vctr double","ordered factor",3974,3974,93246,10,1,10,"Never justifiable | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | Always justifiable"
"Q189","haven_labelled vctrs_vctr double","ordered factor",4076,4076,93144,10,1,10,"Never justifiable | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | Always justifiable"
"Q190","haven_labelled vctrs_vctr double","ordered factor",1034,1034,96186,10,1,10,"Never justifiable | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | Always justifiable"
"Q191","haven_labelled vctrs_vctr double","ordered factor",1022,1022,96198,10,1,10,"Never justifiable | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | Always justifiable"
"Q192","haven_labelled vctrs_vctr double","ordered factor",4523,4523,92697,10,1,10,"Never justifiable | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | Always justifiable"
"Q193","haven_labelled vctrs_vctr double","ordered factor",7750,7750,89470,10,1,10,"Never justifiable | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | Always justifiable"
"Q194","haven_labelled vctrs_vctr double","ordered factor",4793,4793,92427,10,1,10,"Never justifiable | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | Always justifiable"
"Q195","haven_labelled vctrs_vctr double","ordered factor",2469,2469,94751,10,1,10,"Never justifiable | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | Always justifiable"
"Q260","haven_labelled vctrs_vctr double","factor",95,95,97125,2,1,2,"Male | Female"
"Q262","haven_labelled vctrs_vctr double","integer",511,511,96709,85,16,103,
"Q263","haven_labelled vctrs_vctr double","factor",384,384,96836,2,1,2,"I am born in this country | I am an immigrant to this country (born outside this country)"
"Q275","haven_labelled vctrs_vctr double","ordered factor",1071,1071,96149,9,1,9,"Early childhood education (ISCED 0) / no education | Primary education (ISCED 1) | Lower secondary education (ISCED 2) | Upper secondary education (ISCED 3) | Post-secondary non-tertiary education (ISCED 4) | Short-cycle tertiary education (ISCED 5) | Bachelor or equivalent (ISCED 6) | Master or equivalent (ISCED 7) | Doctoral or equivalent (ISCED 8)"
"Q288","haven_labelled vctrs_vctr double","ordered factor",2961,2961,94259,10,1,10,"Lower step | Second step | Third step | Fourth step | Fifth step | Sixth step | Seventh step | Eight  step | Nineth step | Tenth step"
"Q289","haven_labelled vctrs_vctr double","factor",1363,1363,95857,10,1,10,"Do not belong to a denomination | Catholic (Roman/Greek/etc) | Protestant | Orthodox (Russian/Greek/etc.) | Jew | Muslim | Hindu | Buddhist | Other Christian (Jehova withness...) | Other"
