"B_COUNTRY_ALPHA","B_COUNTRY","sampled_participants"
"AND","Andorra",1000
"ARG","Argentina",1000
"ARM","Armenia",1000
"AUS","Australia",1000
"BGD","Bangladesh",1000
"BOL","Bolivia",1000
"BRA","Brazil",1000
"CAN","Canada",1000
"CHL","Chile",1000
"CHN","China",1000
"COL","Colombia",1000
"CYP","Cyprus",1000
"CZE","Czechia",1000
"DEU","Germany",1000
"ECU","Ecuador",1000
"EGY","Egypt",1000
"ETH","Ethiopia",1000
"GBR","Great Britain",1000
"GRC","Greece",1000
"GTM","Guatemala",1000
"HKG","Hong Kong SAR",1000
"IDN","Indonesia",1000
"IND","India",1000
"IRN","Iran",1000
"IRQ","Iraq",1000
"JOR","Jordan",1000
"JPN","Japan",1000
"KAZ","Kazakhstan",1000
"KEN","Kenya",1000
"KGZ","Kyrgyzstan",1000
"KOR","South Korea",1000
"LBN","Lebanon",1000
"LBY","Libya",1000
"MAC","Macau SAR",1000
"MAR","Morocco",1000
"MDV","Maldives",1000
"MEX","Mexico",1000
"MMR","Myanmar",1000
"MNG","Mongolia",1000
"MYS","Malaysia",1000
"NGA","Nigeria",1000
"NIC","Nicaragua",1000
"NIR","Northern Ireland",447
"NLD","Netherlands",1000
"NZL","New Zealand",1000
"PAK","Pakistan",1000
"PER","Peru",1000
"PHL","Philippines",1000
"PRI","Puerto Rico",1000
"ROU","Romania",1000
"RUS","Russia",1000
"SGP","Singapore",1000
"SRB","Serbia",1000
"SVK","Slovakia",1000
"THA","Thailand",1000
"TJK","Tajikistan",1000
"TUN","Tunisia",1000
"TUR","Turkey",1000
"TWN","Taiwan ROC",1000
"UKR","Ukraine",1000
"URY","Uruguay",1000
"USA","United States",1000
"UZB","Uzbekistan",1000
"VEN","Venezuela",1000
"VNM","Vietnam",1000
"ZWE","Zimbabwe",1000
